,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SKU,アカウント,Order No.,販売日,初回チャット,仕入日,国,販売額,購入済み,仕入れ,国内送料,SLS送料,ポイント加算,その他備考,梱包者,実重g,cm,cm,cm,サイズ,発送チャット,商品名,仕入れ先,領収書印刷,国内追跡番号,SLS追跡番号,ヤマト控え有無,,収支チェック
18,20260320_machida_ph_01,ph,260323U9K9MP6B,3/23,,3/23,フィリピン,"₱5,412.00",FALSE,"¥10,611","¥1,581","₱1,631.00",418P,,菅原3/25,3407,58,41,1/17,117,,TAMIYA 1/12 Electric RC Car Series No. 547 Midnight Pumpkin Black Edition 58547,Amazon,5/7,2790-9406-3183,,TRUE,,TRUE
19,20260304_miyawaki_ph_01,ph,260324VMC4V3GW,3/24,,3/24,フィリピン,"₱3,016.00",FALSE,"¥5,150","¥1,135",₱806.00,81P,,菅原3/26,1719,43,29,1/17,90,,Ichiban Kuji JoJo's Bizarre Adventure Stardust Crusaders Jotaro Kujoh MASTERLISE Prize A Anime Figure,らしんばん,,2790-9478-2352,,TRUE,,TRUE
20,20260123_machida_ph_04_3,ph,2603240SGH1582,3/24,,3/24,フィリピン,"₱6,547.00",FALSE,"¥13,000","¥1,581","₱1,631.00",874P,,松本3/25,3413,50,33.5,1/18,102.5,,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,楽天市場（LifeStage Nana!）,,2790-9406-3065,,TRUE,,TRUE
21,20260312_machida_ph_04,,2603241XGT3N26,3/25,,,フィリピン,"₱3,064.00",FALSE,仕入れ無,,,,キャンセル,,,,,,,,MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,,,,,FALSE,,FALSE
22,20260312_machida_ph_04,ph,2603241XJEJAF3,3/25,,,フィリピン,"₱3,064.00",FALSE,仕入れ無,,,,キャンセル,,,,,,0,,MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,,,,,TRUE,,FALSE
23,20260325_machida_ph_01,ph,26032543YJX906,3/25,,3/26,フィリピン,"₱5,205.00",FALSE,"¥8,800","¥1,135","₱1,456.00",352P,,松本3/31,3029,49,36,1/14,100,,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],Amazon,5/7,2790-9476-0825,,TRUE,,TRUE
24,20260312_machida_ph_04,,2603276YGWFB6C,3/27,,,フィリピン,"₱3,064.00",FALSE,仕入れ無,,,,キャンセル,,,,,,,,MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,,,,,FALSE,,FALSE
25,20260316_miyawaki_ph_02,ph,260330FRMDKXKY,3/30,,3/30,フィリピン,"₱2,733.00",FALSE,"¥2,850",¥613,₱331.00,,,松本4/6,702,30,14,1/13,58,,Ichiban Kuji YuYu Hakusho Dark Tournament vol.3 Urameshi Yusuke MASTERLIZED Prize A Figure,メルカリ,,2790-9566-4293,,TRUE,,TRUE
26,20260316_machida_ph_03,ph,260330G026X4X1,3/30,,3/30,フィリピン,"₱3,987.00",TRUE,"¥7,255",,有在庫へ,,キャンセル,,,,,,,,Bandai (Bandai) RG 1/144 GUNDAM SIDE-F Limited RX-93FF ν Gundam Mobile Suit Gundam Counterattack Char,Amazon,5/7,,,FALSE,,FALSE
27,20260312_machida_ph_04,,260330GCGKNUWQ,3/30,,,フィリピン,"₱3,064.00",FALSE,仕入れ無,,,,キャンセル,,,,,,,, MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,,,,,FALSE,,FALSE
28,20260312_machida_ph_04,ph,260330GCHXJU83,3/30,,3/31,フィリピン,"₱3,064.00",FALSE,"¥6,480","¥1,135",₱581.00,194P,,菅原3/31,1354,42,31,12,85,,MG 1/100 Gundam Base Limited Prize RX-78-2 Gundam Ver.3.0 [Gold Coating] Mobile Suit Gundam,Amazon,5/7,2790-9501-4461,,TRUE,,TRUE
29,20260325_machida_ph_01_2,ph,260330GH0SJWWC,3/30,,3/31,フィリピン,"₱5,610.00",FALSE,"¥7,920","¥1,581","₱1,531.00",80P,,松本4/1,3211,50,35.5,16,101.5,,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],Joshin,5/11,2790-9501-4365,,TRUE,,TRUE
30,20260316_ishida_ph_01,,260330GQ0Q6CW0,3/30,,,フィリピン,"₱2,991.00",FALSE,仕入れ無,,,,キャンセル,,,,,,,,Nendoroid Character Vocal Series 03 Megurine Luka Megurine Luka 2.0 Non-Scale Plastic Painted Action Figure,,,,,FALSE,,FALSE
31,20260226_machida_ph_03,ph,260331H4EMX4C2,3/31,,3/31,フィリピン,"₱5,413.00",FALSE,"¥10,880","¥1,135",₱606.00,317P,,松丸4/1,1318,42.5,35,12.5,90,,Authentic BANDAI SPIRITS RG 1/144 Unicorn Gundam Perfectibility Plastic Model Bandai,Amazon,5/7,2790-9501-4531,,TRUE,,TRUE
32,20260316_miyawaki_ph_01,ph,260331HDB9GAG9,3/31,,,フィリピン,"₱4,820.00",FALSE,仕入れ無,,,,キャンセル,,,,,,0,,Ichiban Kuji Demon Slayer Doma Prize B Figur,,,,,FALSE,,FALSE
33,20260302_ishida_ph_02_2,ph,260331J14TP6JR,3/31,,3/31,フィリピン,"₱3,923.00",FALSE,"¥7,980",¥613,₱156.00,319P,,小栁4/1,382,28,17,15,60,,S.H.Figuarts Funeral of Freiren Freiren (Resale Version) Approximately 140mm PVC & ABS Painted Movable Figure TAMASHII NATIONS,Amazon,5/7,2790-9501-4236,,TRUE,,TRUE
34,20260316_miyawaki_ph_01,ph,260331JC12CG04,3/31,,3/31,フィリピン,"₱4,720.00",FALSE,"¥8,222",¥865,₱581.00,,,松本4/6,1273,25,27,22,74,,Ichiban Kuji Demon Slayer Doma Prize B Figure,メルカリ,,2790-9566-4396,,TRUE,,TRUE
35,20260226_machida_ph_03_2,ph,260401MDKP5QGC,4/1,,4/1,フィリピン,"₱5,413.00",FALSE,"¥10,999","¥1,135",₱706.00,319P,,菅原4/2,1451,43,32,14,89,,Authentic BANDAI SPIRITS RG 1/144 Unicorn Gundam Perfectibility Plastic Model Bandai,Amazon,5/7,2790-9512-3473,,TRUE,,TRUE
36,20260324_machida_ph_04,ph,260401NJM9S1AH,4/1,,4/2,フィリピン,"₱9,236.00",TRUE,"¥15,642","¥1,135","₱1,081.00",568P,,菅原4/3,2200,40,30,26,96,,Authentic Tamiya 1/10 Scale Electric RC Car Series No. 747 Mini Cooper Racing (MB-01 Chassis) Electric Radio Control 58747,Amazon,5/7,2790-9525-1923,,TRUE,,TRUE
37,20260318_machida_ph_01,ph,260401NK34RY47,4/1,,4/2,フィリピン,"₱6,441.00",TRUE,"¥11,000","¥1,581","₱1,231.00",110P,,菅原4/3,2500,40,36,28,104,,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],Joshin,5/11,2790-9525-1864,,TRUE,,TRUE
38,20260306_machida_ph_04,ph,260401NKSGYVTM,4/1,,4/2,フィリピン,"₱13,167.00",TRUE,"¥29,000","¥1,581","₱1,431.00",2603P,,菅原4/3,2900,42,32,24,98,,Tamiya RC Special Product 1/10 Electric RC Car Super Astute 2018 Off-Road 47381,楽天市場（家電のSAKURA）,,2790-9525-1713,,TRUE,,TRUE
39,20260302_ishida_ph_04,ph,260403RQPVV3FD,4/3,,4/7,フィリピン,"₱2,151.00",TRUE,"¥7,480",¥361,₱81.00,,,菅原4/6,300,21,18,8,47,,TAMASHII NATIONS S.H.Figuarts NARUTO Shippuden Shikamaru Nara -The Brain That Sees Ahead-Approximately 145mm PVC & ABS,ヤマダ電機(柏テックランド現地購入),,7641-9986-5656,,TRUE,,TRUE
40,20260320_machida_ph_07,ph,2604052B23BH7X,4/5,,4/6,フィリピン,"₱4,825.00",TRUE,"¥7,180","¥1,135","₱1,081.00",71P,,松本4/7,2261,40.5,30.5,16,87,4/8,Authentic TAMIYA 1/10 Electric RC Car Series No.470 Holiday Buggy 2010 Off-Road 58470,Joshin,5/11,2790-9577-6024,,TRUE,,TRUE
41,20260323_machida_ph_02,,2604077R1A70UN,4/7,,,フィリピン,"₱9,961.00",FALSE,仕入れ無,,,,キャンセル,,,,,,,,Authentic Tamiya 1/14 Electric RC Car Series No.672 Monster Beetle Trail (GF-01TR Chassis) 58672,,,,,FALSE,,FALSE
42,20260320_machida_ph_04,ph,2604077TYQFGV7,4/7,4/8,4/8,フィリピン,"₱8,495.00",TRUE,"¥14,850","¥1,135","₱1,231.00",1408P,,小栁4/10,2560,52,25,20,97,4/10,Authentic Tamiya 1/10 Electric RC Car Series No.739 1998 Honda NSX Racing (TT-02 Chassis) 58739,yahooショッピング,,2790-9612-3471,,TRUE,,TRUE
43,20260318_machida_ph_01_2,ph,260408840ENWE1,4/8,4/8,4/8,フィリピン,"₱6,441.00",TRUE,"¥11,000","¥1,135","₱1,156.00",110P,,菅原4/9,2350,42,36,21,99,4/10,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],Joshin,5/11,2790-9600-2706,,TRUE,,FALSE
44,20260325_machida_ph_01_3,ph,2604088V6YP9SB,4/8,4/8,4/8,フィリピン,"₱5,610.00",TRUE,"¥10,756","¥1,581","₱1,656.00",960P,,菅原4/10,3465,62,39,18,119,4/10,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],楽天市場（Toy&ZAKKA mimiy）,,2790-9612-3504,,TRUE,,TRUE
45,20260119_miyawaki_ph_07_2,ph,260408921Y2RAH,4/8,4/8,4/8,フィリピン,"₱4,228.00",TRUE,"¥6,690",¥865,₱456.00,,,4/17,,,,,80,4/17,Ichiban Kuji YuYu Hakusho Dark Tournament vol.2 Karasu MASTERLISE Prize B Anime Figure,らしんばん,,2790-9697-1602,,FALSE,,TRUE
46,20260312_machida_ph_02,ph,260409CG281WD2,4/9,4/10,4/10,フィリピン,"₱3,818.00",TRUE,"¥6,380",¥865,₱431.00,,,松本4/13,935,36,26,16.5,78.5,4/13,RG 1/144 Blast Impulse Gundam SpecII,メルカリ,,2790-9654-5464,,TRUE,,TRUE
47,20260316_ishida_ph_01,ph,260409CMPGHQ7A,4/9,4/10,4/10,フィリピン,"₱3,007.00",TRUE,"¥5,800",¥613,₱206.00,174P,,菅原4/13,520,25,17,15,57,4/14,Nendoroid Character Vocal Series 03 Megurine Luka Megurine Luka 2.0 Non-Scale Plastic Painted Action Figure,Amazon,5/7,2790-9654-5523,,TRUE,,TRUE
48,20260325_machida_ph_01_4,ph,260409D1BWB6VV,4/10,4/10,4/10,フィリピン,"₱5,610.00",TRUE,"¥8,800","¥1,581","₱1,431.00",88P,,松本4/13,2979,50,37,15,102,4/13,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],Joshin,5/11,2790-9654-5501,,TRUE,,TRUE
49,20260325_machida_ph_01_5,ph,260410EJ8N20FQ,4/10,4/13,4/10,フィリピン,"₱5,610.00",TRUE,"¥8,800","¥1,581","₱1,481.00",,,小栁4/14,,,,,0,4/14,Tamiya 1/12 Electric RC Car Series No. 347 Lunch Box 2005 58347 - High-Performance Remote Control Car[Direct from Japan],Amazon,5/7,2790-9665-5865,,TRUE,,TRUE
50,20260323_machida_ph_01,ph,260411GF9BQ95D,4/11,4/13,4/13,フィリピン,"₱7,810.00",TRUE,"¥13,547","¥1,581","₱1,356.00",1261P,,松本4/14,2844,55,25,24,104,4/14,Tamiya 1/10 Electric RC Car Series No.662 Comical Grasshopper (WR-02CB Chassis) Off-Road 58662 【Direct from Japan】,楽天市場（Toy&ZAKKA mimiy）,,2790-9665-6016,,TRUE,,TRUE
51,20260318_machida_ph_03,ph,260411GYVYDNY9,4/11,4/13,4/13,フィリピン,"₱5,792.00",TRUE,"¥9,800",キャンセル,有在庫へ,392P,キャンセル,,,,,,0,,TAMIYA 1/10 Electric R/C Car Series No.570 Lancia Delta Integrale (TT-02 Chassis) Onroad 58570,Amazon,5/7,,,FALSE,,FALSE
52,20260320_machida_ph_01_2,,260411H0DGP0TD,4/11,,,フィリピン,"₱6,549.00",FALSE,仕入れ無,,,,キャンセル,,,,,,,,TAMIYA 1/12 Electric RC Car Series No. 547 Midnight Pumpkin Black Edition 58547,,,,,FALSE,,FALSE
53,20260409_machida_ph_01,ph,260411HMFJMCEX,4/11,4/13,4/13,フィリピン,"₱5,638.00",TRUE,"¥8,800","¥1,581","₱1,531.00",88P,,菅原4/14,3198,55,37,28,120,4/15,[Direct From Japan] 1/12 Scale Electric RC Assembly Kit: Midnight Pumpkin Metallic Special,Joshin,5/11,2790-9665-6053,,TRUE,,TRUE
54,20260318_machida_ph_01_3,ph,260411J0WJXVRG,4/12,4/13,4/13,フィリピン,"₱6,441.00",TRUE,"¥10,300","¥1,135","₱1,206.00",306P,,松本4/14,2554,50,25,18,93,4/14,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],Amazon,5/7,2790-9665-5946,,TRUE,,TRUE
55,20260213_koyanagi_09,sg,260412M1BUBG7P,4/12,4/13,4/13,シンガポール,SGD21.97,TRUE,"¥1,898",キャンセル,返送なし,,キャンセル,,,,,,0,,Nintendo Gameboy Advance Pokémon Ruby Japanese No Package,メルカリ,,,,FALSE,,FALSE
56,20260318_machida_ph_01_4,ph,260413NHXW45P1,4/13,4/13,4/13,フィリピン,"₱6,441.00",TRUE,"¥10,561","¥1,135","₱1,281.00",417P,,4/16,,,,,100,,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],Amazon,5/7,2790-9686-9715,,TRUE,,TRUE
57,20260219_koyanagi_02,sg,260414Q56321K7,4/14,4/14,4/14,シンガポール,SGD153.62,TRUE,"¥12,980","¥1,135",,778P,,4/15小栁,,,,,0,4/16,SONY Studio monitor headphones MDR-7506,SOUND HOUSE,,2790-9675-4985,,TRUE,,FALSE
58, 20260323_machida_ph_02,ph,260415SQXRVU7D,4/15,4/15,4/15,フィリピン,"₱9,961.00",TRUE,"¥23,800","¥1,581","₱1,756.00",238P,,4/17松本,3632,55,37,26,118,4/17,Authentic Tamiya 1/14 Electric RC Car Series No.672 Monster Beetle Trail (GF-01TR Chassis) 58672,Joshin,5/11,2790-9695-7090,,TRUE,,TRUE
59,20260410_miyawaki_ph_01,ph,260415TRAD1NAV,4/15,4/15,4/16,フィリピン,"₱4,823.00",TRUE,"¥7,600",¥865,₱631.00,,,4/22菅原,1300,46,18,16,80,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,yahooフリマ,,2790-9761-1133,,TRUE,,TRUE
60,20260415_miyawaki_ph_03 ,ph,260415TSQ9AE0W,4/15,4/15,4/15,フィリピン,"₱4,306.00",TRUE,"¥6,900","¥1,135",₱906.00,,,4/22小森,,,,,100,,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,yahooフリマ,,2790-9761-1181,PH264017145592N,TRUE,,TRUE
61,20260123_machida_ph_04_4,,260415TT09B9XA,4/15,,,フィリピン,"₱7,234.00",FALSE,仕入れ無,,,,キャンセル,,,,,,,,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,,,,,FALSE,,FALSE
62,20260407_mizushima_ph_01,ph,260415V3TPTBGN,4/16,,4/16,フィリピン,"₱5,415.00",TRUE,"¥9,123","¥1,135",₱731.00,1099P,,4/17松本,1559,44,40,13,97,4/17,BANDAI SPIRITS MG 1/100 Justice Gundam [CROSS CONTRAST COLORS / CLEAR GREEN] Gundam Base Event Limited Edition,楽天市場（メディアワールド）,,2790-9697-1506,,TRUE,,TRUE
63,20260410_miyawaki_ph_01_2,ph,2604171MTQ5J22,4/17,,4/17,フィリピン,"₱4,823.00",TRUE,"¥7,500",¥865,₱631.00,,,4/24菅原,1331,46,18,16,80,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,yahooフリマ,,2790-9778-3613,,TRUE,,TRUE
64,20260410_miyawaki_ph_01_3,,2604185A4WFU61,4/20,,,フィリピン,"₱4,823.00",FALSE,仕入れ無,,,,キャンセル,,,,,,,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,,,,,FALSE,,FALSE
65,20260409_machida_ph_01_2,ph,2604197RQ772N8,4/19,4/20,4/20,フィリピン,"₱5,638.00",TRUE,"¥8,800","¥1,581","₱1,606.00",88P,,4/21小森,,,,,0,,[Direct From Japan] 1/12 Scale Electric RC Assembly Kit: Midnight Pumpkin Metallic Special,Joshin（A）,5/8,2790-9750-2714,,TRUE,,TRUE
66,20260415_miyawaki_ph_03_2,ph,26041985CPVC1N,4/19,,4/20,フィリピン,"₱4,559.00",TRUE,"¥6,795","¥1,135",₱981.00,,,4/23松本,2099,40.5,28,24,92.5,,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,メルカリ,,2790-9768-4902,,TRUE,,TRUE
67,20260324_machida_ph_01,ph,26041992DVFC55,4/20,4/20,4/20,フィリピン,"₱5,761.00",TRUE,"¥8,410","¥1,581","₱1,206.00",84P,,4/21菅原,,,,,0,,Authentic Tamiya Unisex 1/10 Electric RC Car Series No.628 Racing Fighter (DT-03 Chassis) Off-Road,Joshin,5/8,2790-9750-2541,,TRUE,,TRUE
68,20260330_machida_ph_01,ph,260420A1E9TSMU,4/20,4/20,4/20,フィリピン,"₱2,226.00",TRUE,"¥3,200","¥1,135",₱481.00,96P,,4/21小森,,,,,0,,【Directly from Japan】 TAMIYA 1/35 Military Miniature Series No. 362 French Main Battle Tank Leclerc Series 2 Plastic Model 35362 (Tank),Amazon,5/7,2790-9750-2600,,TRUE,,TRUE
69,20260409_machida_ph_01_3,ph,260420A4EQ1PRR,4/20,4/20,4/20,フィリピン,"₱5,638.00",TRUE,"¥11,000","¥1,581","₱1,678.00",710P,,4/21菅原,,,,,0,,[Direct From Japan] 1/12 Scale Electric RC Assembly Kit: Midnight Pumpkin Metallic Special,yahooショッピング,,2790-9750-2670,,TRUE,,TRUE
70,20260316_machida_ph_03,ph,260420A65967MV,4/20,4/20,3/30,フィリピン,"₱4,085.00",TRUE,"¥7,255","¥1,135",₱706.00,有在庫,K27の有在庫,菅原4/20,,,,,0,,Bandai (Bandai) RG 1/144 GUNDAM SIDE-F Limited RX-93FF ν Gundam Mobile Suit Gundam Counterattack Char,Amazon,,2790-9750-2762,,TRUE,,TRUE
71, 20260413_machida_ph_01,ph,260420AUDNJSB5,4/20,4/20,4/21,フィリピン,"₱6,656.00",TRUE,"¥10,979","¥1,135","₱1,431.00",319P,,松本4/23,2982,50,34.5,16,100.5,,[Direct From Japan] Tamiya 1/10 Electric RC Car Series No. 546 1/12 Lunchbox Black Edition 58546,Amazon,5/7,2790-9768-4935,,TRUE,,TRUE
72,20260417_miyawaki_ph_04,,260420BBMKWXP1,4/20,,,フィリピン,"₱8,569.00",FALSE,仕入れ無,,,,キャンセル,,,,,,,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,,,,,FALSE,,FALSE
73,20260417_miyawaki_ph_04,ph,260420BDMV1DF6,4/20,,4/21,フィリピン,"₱8,569.00",TRUE,"¥12,700","¥1,581","₱1,156.00",,,菅原4/24,2877,54,41,25,120,,Ichiban Kuji Frieren: Beyond Journey's End Last One Prize: Frieren Art Scale Figure,yahooフリマ,,2790-9778-3521,,TRUE,,TRUE
74,20260119_machida_ph_03,ph,260421D9XXTW7F,4/21,4/22,4/22,フィリピン,"₱9,893.00",FALSE,"¥20,800","¥2,442","₱4,081.00",724P,,4/23菅原,8306,60,55,34,149,,"Seiko Wall Clock – Musical Motion Clock, Radio-Controlled RE576A (Analog / Triple-Selection Melody / Rotating Ornaments / Ivory Marble",Amazon,5/7,2790-9768-4950,,TRUE,,TRUE
75,20260123_machida_ph_02,ph,260421D9XXTW7F,4/21,4/22,4/22,フィリピン,"₱11,350.00",TRUE,"¥22,000",,↑同梱,3640P,,同梱,↑同梱,,,,0,,Seiko Clock Wall Clock Quartz Clock Mechanical Clock Analog Triple Selection Melody Silver 443×405×97mm RE602S,Amazon,5/7,2790-9768-4950,,TRUE,,FALSE
76,20260408_mizushima_ph_05,ph,260421DCVQ349X,4/21,4/22,4/22,フィリピン,"₱3,442.00",TRUE,"¥6,980","¥1,135",₱181.00,275P,,松本4/23,419,26,20,13,59,,"MIC DiGiSM One and Only ""SLAM DUNK"" Takenori Akagi, approximately 170mm tall, non-scale, PVC + ABS painted finished figure.",楽天市場（サンネット商店）,,2790-9768-5031,,TRUE,,TRUE
